,,Share with student loan debt,,,,Median student loan debt,,,,Share student loan holders with student loan debt in collections,,,,Median student loan debt in collections,,,,Median monthly student loan payment,,,,Share people with a credit record who have student loan debt in collections,,,,Nonwhite population share,,Share without a bachelor's degree,,,,Average household income,,
Liberty County,Texas,10%,10%,n/a*,,"$10,281","$10,230",n/a*,,21%,21%,n/a*,,n/a*,n/a*,n/a*,,$124,$124,n/a*,,2%,2%,n/a*,,33%,,89%,88%,91%,,"$69,126","$70,923","$62,288"
Limestone County,Texas,15%,18%,n/a**,,"$10,968",n/a*,n/a**,,15%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,40%,,86%,83%,93%,,"$53,982","$60,572","$39,244"
Lipscomb County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,33%,,81%,77%,93%,,"$82,188","$85,756","$70,812"
Live Oak County,Texas,9%,n/a*,n/a*,,n/a*,n/a*,n/a*,,14%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,n/a*,,43%,,87%,82%,95%,,"$61,394","$65,500","$49,579"
Llano County,Texas,11%,11%,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,12%,,72%,72%,82%,,"$78,836","$80,775","$57,349"
Loving County,Texas,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,59%,,98%,96%,100%,,"$54,313","$62,866","$38,813"
Lubbock County,Texas,18%,20%,13%,,"$17,552","$18,208","$13,286",,13%,10%,18%,,"$8,000",n/a*,n/a*,,$161,$166,$103,,2%,2%,2%,,46%,,74%,64%,87%,,"$64,555","$74,024","$49,664"
Lynn County,Texas,13%,n/a*,n/a*,,n/a*,n/a*,n/a*,,13%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,n/a*,n/a*,,51%,,84%,76%,93%,,"$59,742","$74,884","$41,284"
McCulloch County,Texas,11%,11%,n/a*,,n/a*,n/a*,n/a*,,20%,20%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,2%,n/a*,,34%,,84%,80%,94%,,"$55,521","$61,246","$42,702"
McLennan County,Texas,20%,17%,20%,,"$17,374","$17,628","$17,925",,24%,15%,34%,,"$5,645",n/a*,n/a*,,$162,$145,$123,,5%,3%,7%,,43%,,77%,70%,87%,,"$62,980","$74,998","$42,906"
McMullen County,Texas,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,50%,,85%,72%,100%,,"$74,518","$94,444","$46,690"
Madison County,Texas,14%,13%,n/a*,,n/a*,n/a*,n/a*,,19%,10%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,1%,n/a*,,43%,,89%,85%,96%,,"$52,452","$57,724","$34,906"
Marion County,Texas,13%,13%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,29%,,86%,86%,86%,,"$50,718","$54,110","$41,560"
Martin County,Texas,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,49%,,83%,75%,92%,,"$81,492","$96,425","$59,206"
Mason County,Texas,6%,6%,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,28%,,78%,72%,95%,,"$56,866","$62,952","$36,133"
Matagorda County,Texas,10%,n/a*,n/a*,,"$14,094",n/a*,n/a*,,15%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,n/a*,,54%,,85%,80%,91%,,"$56,032","$65,208","$45,087"
Maverick County,Texas,9%,n/a**,10%,,"$10,396",n/a**,"$10,396",,21%,n/a**,21%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,2%,n/a**,2%,,97%,,89%,72%,90%,,"$49,097","$62,143","$48,658"
Medina County,Texas,15%,n/a*,14%,,"$13,951",n/a*,n/a*,,17%,n/a*,33%,,n/a*,n/a*,n/a*,,$179,n/a*,n/a*,,3%,n/a*,5%,,55%,,81%,73%,89%,,"$72,185","$83,798","$58,493"
Menard County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,41%,,83%,73%,99%,,"$50,222","$58,508","$36,799"
Midland County,Texas,11%,13%,10%,,"$12,724","$14,236","$11,313",,14%,9%,17%,,n/a*,n/a*,n/a*,,$169,$201,$167,,2%,1%,2%,,53%,,74%,61%,88%,,"$107,458","$120,444","$90,500"
Milam County,Texas,12%,12%,n/a**,,n/a*,n/a*,n/a**,,17%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,1%,n/a**,,36%,,83%,80%,93%,,"$56,071","$60,584","$44,566"
Mills County,Texas,14%,14%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,17%,,78%,76%,91%,,"$57,152","$59,243","$42,940"
Mitchell County,Texas,12%,n/a*,n/a**,,n/a*,n/a*,n/a**,,27%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,n/a*,n/a**,,51%,,89%,82%,97%,,"$62,338","$68,955","$50,901"
Montague County,Texas,12%,12%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,13%,,84%,83%,95%,,"$61,318","$63,475","$38,533"
Montgomery County,Texas,13%,14%,9%,,"$15,095","$15,625",n/a*,,12%,12%,8%,,"$6,490","$5,061",n/a*,,$165,$170,n/a*,,2%,2%,1%,,32%,,66%,63%,73%,,"$102,871","$112,575","$74,003"
Moore County,Texas,10%,n/a*,9%,,n/a*,n/a*,n/a*,,21%,n/a*,25%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,n/a*,2%,,65%,,88%,79%,95%,,"$60,218","$69,079","$52,215"
Morris County,Texas,12%,11%,n/a**,,n/a*,n/a*,n/a**,,9%,12%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,34%,,86%,83%,91%,,"$54,436","$58,548","$44,893"
Motley County,Texas,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,17%,,83%,81%,99%,,"$46,303","$48,647","$25,972"
Nacogdoches County,Texas,13%,15%,n/a**,,"$18,455","$16,313",n/a**,,14%,13%,n/a**,,n/a*,n/a*,n/a**,,$139,n/a*,n/a**,,2%,2%,n/a**,,40%,,75%,70%,86%,,"$59,428","$69,445","$41,940"
Navarro County,Texas,16%,18%,n/a**,,"$16,220",n/a*,n/a**,,15%,13%,n/a**,,n/a*,n/a*,n/a**,,$131,n/a*,n/a**,,2%,2%,n/a**,,42%,,84%,81%,91%,,"$56,391","$63,707","$42,300"
Newton County,Texas,3%,4%,n/a*,,n/a*,n/a*,n/a*,,40%,40%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,26%,,94%,94%,93%,,"$51,865","$54,284","$42,311"
Nolan County,Texas,12%,8%,n/a**,,n/a*,n/a*,n/a**,,13%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,2%,n/a**,,42%,,88%,83%,96%,,"$51,548","$60,328","$37,462"
Nueces County,Texas,15%,11%,15%,,"$12,803","$9,630","$13,349",,15%,13%,15%,,"$5,443",n/a*,"$5,776",,$126,n/a*,$129,,2%,1%,2%,,70%,,79%,67%,86%,,"$67,931","$86,993","$56,971"
Ochiltree County,Texas,6%,n/a*,n/a**,,n/a*,n/a*,n/a**,,18%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,n/a*,n/a**,,53%,,85%,80%,92%,,"$72,142","$82,558","$58,736"
Oldham County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,28%,,72%,69%,91%,,"$75,141","$77,126","$56,307"
Orange County,Texas,12%,12%,n/a**,,"$13,007","$13,027",n/a**,,18%,17%,n/a**,,n/a*,n/a*,n/a**,,$163,$161,n/a**,,2%,2%,n/a**,,18%,,84%,82%,95%,,"$63,370","$65,522","$51,963"
Palo Pinto County,Texas,9%,9%,n/a**,,n/a*,n/a*,n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,24%,,84%,82%,93%,,"$58,744","$60,909","$49,547"
Panola County,Texas,8%,8%,n/a**,,n/a*,n/a*,n/a**,,12%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,27%,,87%,85%,94%,,"$65,420","$72,079","$41,497"
Parker County,Texas,12%,12%,n/a**,,"$13,244","$13,316",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,$146,$148,n/a**,,2%,2%,n/a**,,15%,,74%,73%,78%,,"$94,620","$98,337","$69,794"
Parmer County,Texas,10%,n/a*,10%,,n/a*,n/a*,n/a*,,8%,n/a*,10%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,1%,,63%,,85%,74%,93%,,"$59,716","$74,924","$46,827"
Pecos County,Texas,8%,n/a**,8%,,n/a*,n/a**,n/a*,,14%,n/a**,13%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,1%,n/a**,1%,,73%,,90%,80%,94%,,"$61,501","$72,849","$56,523"
Polk County,Texas,7%,8%,n/a**,,"$11,169",n/a*,n/a**,,25%,28%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,29%,,88%,86%,94%,,"$55,497","$57,901","$45,294"
Potter County,Texas,13%,14%,11%,,"$12,849","$13,321","$9,003",,22%,21%,20%,,"$6,212",n/a*,n/a*,,$139,$145,n/a*,,3%,3%,2%,,54%,,84%,79%,91%,,"$58,047","$63,290","$51,153"
Presidio County,Texas,11%,n/a*,11%,,n/a*,n/a*,n/a*,,8%,n/a*,8%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,1%,,85%,,74%,42%,82%,,"$42,947","$63,252","$37,138"
Rains County,Texas,9%,9%,n/a**,,n/a*,n/a*,n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,14%,,89%,90%,86%,,"$56,531","$56,991","$51,881"
Randall County,Texas,15%,15%,21%,,"$15,263","$15,667",n/a*,,12%,11%,18%,,n/a*,n/a*,n/a*,,$132,$132,n/a*,,2%,2%,4%,,27%,,68%,66%,78%,,"$80,183","$85,107","$61,633"
Reagan County,Texas,17%,n/a*,17%,,n/a*,n/a*,n/a*,,27%,n/a*,27%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,5%,n/a*,5%,,69%,,90%,78%,97%,,"$67,014","$86,174","$53,516"
Real County,Texas,5%,5%,n/a**,,n/a*,n/a*,n/a**,,67%,67%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,20%,,78%,76%,90%,,"$46,824","$49,186","$33,643"
Red River County,Texas,9%,10%,n/a**,,n/a*,n/a*,n/a**,,29%,29%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,27%,,87%,85%,94%,,"$45,496","$51,121","$27,515"
Reeves County,Texas,6%,n/a*,6%,,n/a*,n/a*,n/a*,,50%,n/a*,50%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,n/a*,3%,,80%,,89%,76%,94%,,"$58,529","$63,855","$56,263"
Refugio County,Texas,12%,n/a*,n/a*,,n/a*,n/a*,n/a*,,21%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,n/a*,n/a*,,57%,,90%,82%,98%,,"$62,820","$80,884","$44,717"
Roberts County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,,68%,68%,79%,,"$81,912","$82,973","$41,689"
Robertson County,Texas,10%,7%,n/a*,,n/a*,n/a*,n/a*,,29%,13%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,1%,n/a*,,42%,,84%,79%,92%,,"$56,709","$65,984","$39,772"
Rockwall County,Texas,17%,17%,n/a**,,"$18,463","$18,425",n/a**,,7%,7%,n/a**,,n/a*,n/a*,n/a**,,$196,$190,n/a**,,1%,1%,n/a**,,27%,,61%,57%,76%,,"$119,086","$127,314","$88,523"
Runnels County,Texas,9%,8%,n/a**,,n/a*,n/a*,n/a**,,7%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,37%,,83%,77%,94%,,"$56,597","$60,219","$47,615"
Rusk County,Texas,12%,12%,n/a*,,"$10,022","$10,022",n/a*,,20%,22%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,3%,n/a*,,35%,,86%,84%,92%,,"$61,937","$70,214","$41,434"
Sabine County,Texas,6%,6%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,13%,,88%,88%,91%,,"$47,160","$49,383","$21,634"
San Augustine County,Texas,7%,n/a*,n/a**,,n/a*,n/a*,n/a**,,38%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,n/a*,n/a**,,31%,,89%,86%,97%,,"$47,613","$53,625","$29,495"
San Jacinto County,Texas,6%,5%,n/a**,,n/a*,n/a*,n/a**,,5%,6%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,25%,,89%,87%,96%,,"$59,113","$62,652","$45,916"
San Patricio County,Texas,13%,n/a**,13%,,"$14,075",n/a**,"$10,461",,14%,n/a**,17%,,n/a*,n/a**,n/a*,,$156,n/a**,n/a*,,2%,n/a**,2%,,59%,,82%,76%,86%,,"$75,625","$95,311","$58,125"
San Saba County,Texas,12%,n/a*,n/a*,,n/a*,n/a*,n/a*,,27%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,n/a*,n/a*,,34%,,85%,81%,99%,,"$48,090","$48,632","$45,986"
Schleicher County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,51%,,80%,71%,93%,,"$66,807","$75,835","$54,571"
Scurry County,Texas,9%,n/a*,n/a**,,n/a*,n/a*,n/a**,,14%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,n/a*,n/a**,,45%,,85%,79%,93%,,"$72,091","$75,730","$65,367"
Shackelford County,Texas,15%,n/a*,n/a**,,n/a*,n/a*,n/a**,,25%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,n/a*,n/a**,,12%,,77%,76%,88%,,"$57,372","$58,430","$41,686"
Shelby County,Texas,8%,11%,n/a**,,n/a*,n/a*,n/a**,,27%,27%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,3%,n/a**,,37%,,85%,81%,95%,,"$53,528","$62,350","$30,481"
Sherman County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,44%,,79%,72%,92%,,"$64,905","$73,429","$46,576"
Smith County,Texas,14%,15%,13%,,"$14,503","$15,708","$11,424",,13%,12%,23%,,"$6,896",n/a*,n/a*,,$151,$166,n/a*,,2%,2%,3%,,40%,,75%,68%,91%,,"$72,511","$83,811","$47,208"
Somervell County,Texas,15%,15%,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,21%,,77%,74%,92%,,"$68,206","$70,681","$55,924"
Starr County,Texas,10%,n/a**,10%,,"$10,293",n/a**,"$10,484",,15%,n/a**,15%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,2%,n/a**,1%,,99%,,91%,76%,91%,,"$42,419","$76,518","$41,866"
Stephens County,Texas,10%,10%,n/a**,,n/a*,n/a*,n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,26%,,81%,79%,90%,,"$56,822","$59,818","$42,859"
Sterling County,Texas,n/a*,n/a**,n/a**,,n/a*,n/a**,n/a**,,n/a*,n/a**,n/a**,,n/a*,n/a**,n/a**,,n/a*,n/a**,n/a**,,n/a*,n/a**,n/a**,,48%,,78%,64%,98%,,"$61,407","$65,203","$55,477"
Stonewall County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,25%,,84%,81%,99%,,"$54,420","$58,921","$34,295"
Sutton County,Texas,5%,n/a**,6%,,n/a*,n/a**,n/a*,,25%,n/a**,25%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,1%,n/a**,1%,,60%,,80%,61%,94%,,"$66,581","$78,535","$57,473"
Swisher County,Texas,9%,n/a*,n/a*,,n/a*,n/a*,n/a*,,10%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,n/a*,,51%,,84%,77%,94%,,"$51,284","$61,062","$36,147"
Tarrant County,Texas,16%,16%,15%,,"$16,189","$17,673","$14,711",,16%,13%,19%,,"$7,733","$7,715","$6,882",,$159,$179,$138,,2%,2%,3%,,52%,,69%,62%,78%,,"$83,592","$99,641","$62,492"
Taylor County,Texas,16%,17%,n/a**,,"$16,273","$16,590",n/a**,,14%,13%,n/a**,,n/a*,n/a*,n/a**,,$158,$157,n/a**,,2%,2%,n/a**,,35%,,77%,73%,87%,,"$66,085","$69,247","$58,867"
Terrell County,Texas,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,72%,,83%,59%,94%,,"$52,796","$71,162","$43,009"
Terry County,Texas,12%,n/a*,n/a*,,n/a*,n/a*,n/a*,,23%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,n/a*,n/a*,,58%,,87%,81%,94%,,"$62,384","$83,673","$39,749"
Throckmorton County,Texas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,16%,,78%,76%,92%,,"$61,584","$64,494","$43,017"
Titus County,Texas,9%,n/a*,n/a*,,n/a*,n/a*,n/a*,,11%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,n/a*,,53%,,85%,78%,94%,,"$58,613","$69,193","$43,709"
Tom Green County,Texas,14%,16%,11%,,"$12,348","$18,047","$12,253",,17%,14%,28%,,n/a*,n/a*,n/a*,,$118,$137,n/a*,,2%,2%,3%,,46%,,76%,71%,85%,,"$67,658","$75,075","$56,690"
Travis County,Texas,17%,16%,16%,,"$18,064","$19,899","$16,294",,11%,7%,15%,,"$8,664","$11,242","$7,896",,$181,$203,$165,,2%,1%,2%,,51%,,53%,39%,70%,,"$95,768","$114,241","$70,459"
Trinity County,Texas,7%,7%,n/a**,,n/a*,n/a*,n/a**,,25%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,21%,,89%,88%,94%,,"$46,571","$49,158","$34,929"
Tyler County,Texas,9%,8%,n/a*,,n/a*,n/a*,n/a*,,15%,13%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,21%,,89%,88%,95%,,"$52,859","$53,966","$44,230"
Upshur County,Texas,12%,12%,n/a**,,"$11,957","$11,957",n/a**,,21%,21%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,19%,,86%,85%,89%,,"$61,584","$63,560","$49,205"
Upton County,Texas,8%,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,n/a*,n/a*,,55%,,90%,86%,94%,,"$63,851","$74,940","$52,597"
Uvalde County,Texas,14%,n/a*,14%,,"$10,737",n/a*,"$11,201",,11%,n/a*,11%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,2%,,72%,,85%,73%,91%,,"$52,664","$66,527","$43,822"
Val Verde County,Texas,8%,n/a*,9%,,"$12,352",n/a*,"$12,352",,13%,n/a*,12%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,1%,,83%,,83%,62%,88%,,"$56,890","$75,887","$50,908"
Van Zandt County,Texas,10%,10%,n/a**,,"$11,966","$11,966",n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,$155,$155,n/a**,,2%,2%,n/a**,,15%,,85%,84%,90%,,"$60,192","$61,744","$47,494"
Victoria County,Texas,10%,12%,8%,,"$13,036","$14,941","$8,508",,15%,8%,23%,,n/a*,n/a*,n/a*,,$133,$133,n/a*,,1%,1%,2%,,53%,,78%,66%,90%,,"$73,941","$85,456","$59,375"
Walker County,Texas,21%,22%,n/a*,,"$16,628","$17,546",n/a*,,22%,16%,n/a*,,n/a*,n/a*,n/a*,,$164,$169,n/a*,,5%,4%,n/a*,,43%,,77%,71%,86%,,"$52,440","$56,463","$43,675"
Waller County,Texas,16%,17%,16%,,"$14,632",n/a*,"$14,146",,16%,15%,17%,,n/a*,n/a*,n/a*,,$155,n/a*,n/a*,,3%,2%,3%,,57%,,81%,76%,88%,,"$69,918","$90,214","$47,459"
Ward County,Texas,9%,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,n/a*,n/a*,,57%,,89%,83%,94%,,"$65,346","$75,871","$56,128"
Washington County,Texas,11%,11%,n/a**,,"$14,045","$13,484",n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,35%,,78%,73%,92%,,"$65,211","$71,803","$43,714"
Webb County,Texas,11%,n/a**,11%,,"$11,009",n/a**,"$11,009",,15%,n/a**,15%,,"$7,450",n/a**,"$7,450",,$128,n/a**,$128,,2%,n/a**,2%,,96%,,83%,64%,84%,,"$57,849","$70,084","$52,608"
Wharton County,Texas,13%,14%,n/a*,,"$9,500",n/a*,n/a*,,13%,17%,n/a*,,n/a*,n/a*,n/a*,,$123,n/a*,n/a*,,2%,2%,n/a*,,54%,,86%,78%,95%,,"$57,602","$69,455","$43,008"
Wheeler County,Texas,9%,12%,n/a**,,n/a*,n/a*,n/a**,,22%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,3%,n/a**,,31%,,83%,79%,95%,,"$65,567","$72,103","$43,983"
Wichita County,Texas,13%,13%,n/a**,,"$14,823","$16,514",n/a**,,17%,16%,n/a**,,n/a*,n/a*,n/a**,,$154,$168,n/a**,,2%,2%,n/a**,,34%,,78%,75%,85%,,"$58,703","$62,597","$47,396"
Wilbarger County,Texas,12%,n/a*,n/a**,,n/a*,n/a*,n/a**,,18%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,n/a*,n/a**,,39%,,84%,79%,93%,,"$51,283","$55,376","$40,794"
Willacy County,Texas,12%,n/a*,12%,,n/a*,n/a*,n/a*,,19%,n/a*,19%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,n/a*,2%,,90%,,92%,78%,94%,,"$39,408","$59,467","$35,798"
Williamson County,Texas,18%,17%,n/a**,,"$17,079","$17,796",n/a**,,10%,8%,n/a**,,"$10,118","$13,421",n/a**,,$180,$182,n/a**,,2%,1%,n/a**,,39%,,60%,57%,65%,,"$93,300","$98,678","$81,843"
Wilson County,Texas,14%,14%,n/a*,,"$15,299",n/a*,n/a*,,15%,14%,n/a*,,n/a*,n/a*,n/a*,,$171,n/a*,n/a*,,2%,2%,n/a*,,42%,,80%,75%,89%,,"$81,615","$90,240","$65,970"
Winkler County,Texas,3%,n/a**,4%,,n/a*,n/a**,n/a*,,25%,n/a**,25%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,1%,n/a**,1%,,60%,,89%,84%,93%,,"$65,419","$66,343","$64,583"
Wise County,Texas,14%,14%,n/a**,,"$11,141","$11,141",n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,$143,$143,n/a**,,2%,2%,n/a**,,22%,,83%,82%,90%,,"$75,100","$74,771","$76,891"
Wood County,Texas,8%,8%,n/a**,,"$9,122","$9,192",n/a**,,10%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,16%,,83%,82%,92%,,"$60,966","$63,303","$39,980"
Yoakum County,Texas,10%,n/a*,8%,,n/a*,n/a*,n/a*,,27%,n/a*,22%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,n/a*,2%,,64%,,85%,78%,91%,,"$69,824","$77,818","$63,644"
Young County,Texas,9%,9%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,21%,,82%,81%,92%,,"$64,306","$67,902","$43,205"
Zapata County,Texas,8%,n/a**,8%,,n/a*,n/a**,n/a*,,15%,n/a**,15%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,1%,n/a**,1%,,94%,,92%,88%,92%,,"$48,604","$51,651","$48,229"
Zavala County,Texas,14%,n/a**,14%,,n/a*,n/a**,n/a*,,22%,n/a**,22%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,3%,n/a**,3%,,94%,,91%,73%,92%,,"$39,676","$49,530","$38,732"
